,type,area,bed,bath,toilet,price
79,flat / apartment,Ikoyi,3 ,3 ,4 ,8500000
80,terraced duplex,Ikoyi,4 ,4 ,5 ,9000000
81,flat / apartment,Lekki,3 ,3 ,4 ,3000000
82,terraced duplex,Oniru,4 ,4 ,5 ,5000000
83,flat / apartment,Oniru,3 ,3 ,4 ,5000000
84,terraced duplex,Gbagada,4 ,4 ,4 ,65000000
85,flat / apartment,Victoria Island,3 ,3 ,4 ,12000000
86,flat / apartment,Ikoyi,3 ,3 ,4 ,4000000
87,terraced duplex,Lekki,4 ,4 ,5 ,4000000
88,terraced duplex,Oniru,4 ,4 ,5 ,6000000
89,flat / apartment,Ikoyi,3 ,3 ,4 ,8500000
90,flat / apartment,Victoria Island,4 ,5 ,5 ,18000000
91,terraced duplex,Ikoyi,4 ,4 ,5 ,4000000
92,flat / apartment,Ikoyi,3 ,4 ,3 ,8000000
93,terraced duplex,Lekki,5 ,5 ,6 ,5000000
94,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
95,flat / apartment,Ikoyi,2 ,3 ,3 ,7000000
96,detached duplex,Ikoyi,3 ,3 ,4 ,8000000
97,semi detached duplex,Ikoyi,4 ,4 ,5 ,20000000
98,detached duplex,Ikoyi,5 ,5 ,5 ,50000000
99,semi detached duplex,Lekki,4 ,4 ,4 ,3500000
100,flat / apartment,Ikoyi,2 ,2 ,3 ,6000000
101,flat / apartment,Victoria Island,3 ,3 ,4 ,9000000
102,flat / apartment,Victoria Island,4 ,4 ,4 ,24000000
103,flat / apartment,Victoria Island,3 ,3 ,4 ,6000000
104,flat / apartment,Ikoyi,4 ,4 ,4 ,15000000
105,terraced duplex,Ikoyi,4 ,4 ,5 ,9000000
106,flat / apartment,Ikoyi,5 ,5 ,6 ,25000000
107,terraced duplex,Ikoyi,4 ,4 ,5 ,12000000
108,flat / apartment,Victoria Island,2 ,2 ,2 ,10000000
109,flat / apartment,Oniru,3 ,3 ,4 ,4000000
110,detached duplex,Victoria Island,4 ,4 ,5 ,20000000
111,flat / apartment,Gbagada,1 ,1 ,1 ,500000
112,flat / apartment,Lekki,4 ,4 ,5 ,3500000
113,terraced duplex,Kosofe,3 ,3 ,4 ,2500000
114,flat / apartment,Ikoyi,3 ,3 ,3 ,16000000
115,flat / apartment,Ikoyi,3 ,3 ,4 ,8000000
